0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,price
1527.0,2.0,1.5,69.0,324.16502946954813,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,495000
2526.0,3.0,2.5,27.0,297.70387965162314,1.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,752000
1622.0,2.0,1.5,50.0,196.6707768187423,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,319000
3102.0,4.0,3.0,20.0,390.07092198581563,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1210000
1835.0,2.0,2.0,43.0,251.77111716621255,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,462000
1742.0,2.0,1.5,62.0,230.195177956372,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,401000
2950.0,3.0,2.5,24.0,302.03389830508473,1.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,891000
1422.0,2.0,1.0,73.0,194.0928270042194,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,276000
2010.0,3.0,2.0,32.0,262.18905472636817,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,527000
1525.0,2.0,1.5,60.0,221.63934426229508,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,338000
2230.0,3.0,2.0,39.0,275.7847533632287,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,615000
1650.0,2.0,1.5,67.0,180.6060606060606,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,298000
3050.0,4.0,3.5,22.0,373.7704918032787,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1140000
1925.0,3.0,2.0,46.0,250.3896103896104,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,482000
1720.0,2.0,2.0,55.0,247.09302325581396,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,425000
2640.0,3.0,2.5,30.0,276.1363636363636,1.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,729000
1380.0,2.0,1.0,77.0,181.8840579710145,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,251000
2890.0,4.0,3.0,17.0,307.9584775086505,1.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,890000
2030.0,3.0,2.0,37.0,252.2167487684729,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,512000
1620.0,2.0,1.5,63.0,231.4814814814815,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,375000
2150.0,3.0,2.0,43.0,256.74418604651163,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,552000
1750.0,2.0,1.5,53.0,198.85714285714286,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,348000
1980.0,3.0,2.0,45.0,248.4848484848485,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,492000
1830.0,3.0,2.0,50.0,240.43715846994536,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,440000
2420.0,3.0,2.5,35.0,281.8181818181818,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,682000
1450.0,2.0,1.0,75.0,180.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,261000
